q,a1,a2,a3,a4
"ここは昔懐かしい長屋の一角。
ぼろぼろだけど、気持ちだけは前向きに、花を植えて、可愛く飾って、
名前は 『秋桜荘（こすもすそう）』。",STEINS；GATE,キサラギGOLD★STAR,双子座のパラドクス,天ノ少女
"7年前に起きた “ナグルファルの夜” という現象。
同時に巨大な空間の裂け目が発生し、二次災害をもたらした現実。
……その日から夜空には “オーロラ” が現れるようになった。",Fate/stay night,キサラギGOLD★STAR,ロイヤルガーデン ～乙女に恋する皇子の戯曲～,幻創のイデア ～Oratorio Phantasm Historia～
"私立 永幡（エイマン）学園――
そこは各地から特殊な能力を持つ （と思われる） 学生たちを集めた “特殊能力開発
科” が存在する唯一の学園だった。
主人公はそんな学園に通う、双子の兄弟。",Fate/stay night,ロイヤルガーデン ～乙女に恋する皇子の戯曲～,双子座のパラドクス,幻創のイデア ～Oratorio Phantasm Historia～
"「───一つ言い忘れた事がある。僕はね、魔法使いなんだ」
火災によって孤児になった主人公は、そう語る男の養子として引き取られた。
その養父の死から三年。町には不可思議な事件が起こり始め、
主人公はマスターと呼ばれる魔術師たちの戦いに巻き込まれる。",Fate/stay night,STEINS；GATE,キサラギGOLD★STAR,ロイヤルガーデン ～乙女に恋する皇子の戯曲～
"岡部倫太郎――通称オカリン――は、いまだ厨二病から抜け出せない大学生。
自称 「狂気のマッドサイエンティスト・鳳凰院凶真」 を名乗り、
『未来ガジェット研究所』 という、
メンバーわずか3人だけのサークルでヘンテコな発明をする日々を送っていた。",Fate/stay night,STEINS；GATE,ナツユメナギサ,幻創のイデア ～Oratorio Phantasm Historia～
2019年。 世界線変動率 『1.048596』。,G線上の魔王,ROBOTICS；NOTES,レミニセンス,沙耶の唄
"“渋谷地震”と呼称される震災から 6年後の、西暦2015年 10月――
復興中の渋谷で奇妙な事件が続発する。",CHAOS；CHILD,G線上の魔王,ROBOTICS；NOTES,レミニセンス Re：Collect
"真冬。粉雪の舞う大都市に“魔王”が出没した。
望みは、無論、人間社会の崩壊である。",G線上の魔王,ROBOTICS；NOTES,レミニセンス Re：Collect,春色桜瀬
"――恋桜。
学園に伝わる、一つの伝説。
その桜の木の下で出会った男女は、運命的な恋に落ちるという。
沖田陸にとって、それはなんの興味もない、どうでもいい内容だった。",ROBOTICS；NOTES,レミニセンス Re：Collect,春色桜瀬,沙耶の唄
"これは遠い未来のストーリー。
主人公・島津秀隆は臨時教師として近くの女学園に通っていた。
将来に大きな希望を持つわけでもなく、生活のためにただ毎日を送る。",CHAOS；CHILD,サルテ,レミニセンス,春色桜瀬
"主人公・島津秀隆が特務官になり、2年が過ぎた。
秋や希望、凛たちも卒業し、それぞれの道へ進み始めた頃、
ホープタウンとドリームタウンに大きな変化が訪れる。
第三の街 『大和』 という都市が発見された。",CHAOS；CHILD,サルテ,レミニセンス,レミニセンス Re：Collect
『人生は主観的に見ると悲劇だが、客観的に見れば喜劇である。』,CHAOS；CHILD,サルテ,春色桜瀬,沙耶の唄
"ある日、
交通事故によって生死の境を彷徨うハメとなってしまった主人公“匂坂郁紀”。
なんとか一命は取りとめたものの、手術のために一時的に視力を失うことに。",G線上の魔王,サルテ,レミニセンス,沙耶の唄
"ひょんなことから転校生・黒瓜ミサに恥をかかせてしまった十和田鏡介。
恨まれた彼は、ミサの呪いによって学園に閉じ込められてしまう。
が、しかし。
なぜかミサも一緒に閉じ込められてしまい、○○的に共同生活を送るハメに !?",SHUFFLE！,euphoria,ネこグリ。～ネクラと恋のグリモワァル～,学☆王 -THE ROYAL SEVEN STARS-
"愛情や別れの辛さ……人の心をもってしまったために、
死神としての仕事ができなくなった少女が、
自分の心を切り捨ててしまったことからはじまる物語。",ネこグリ。～ネクラと恋のグリモワァル～,学☆王 -THE ROYAL SEVEN STARS-,水夏～SUIKA～,翠の海 -midori no umi-
"その思いを胸に、遠い宇宙の彼方から地球へやってきた少年・大陸（ひろと）。
彼の向かう先は、
世界最高峰の教育機関として名高い 『ジュネシス』 という国である。",ネこグリ。～ネクラと恋のグリモワァル～,俺たちに翼はない,学☆王 -THE ROYAL SEVEN STARS-,翠の海 -midori no umi-
"――大都市・柳木原。
おびただしい数の人と建物がひしめく、巨大な繁華街。",euphoria,ネこグリ。～ネクラと恋のグリモワァル～,俺たちに翼はない,翠の海 -midori no umi-
"とある遺跡で発見され、開いてしまった二つの扉。
その先には神族の住む神界、魔族の住む魔界があった。三つの世界は繋がり、
そして人間界に大きな変化をもたらすことに・・・。",SHUFFLE！,グリムガーデンの少女 -witch in gleamgarden-,俺たちに翼はない,水夏～SUIKA～
"森の中心には綺麗な湖。そして12人が暮らしている広い洋館。
図書室にはたくさんの本があり、音楽室には楽器もあり、
何の不自由もなく生活できるその場所……",SHUFFLE！,グリムガーデンの少女 -witch in gleamgarden-,水夏～SUIKA～,翠の海 -midori no umi-
"世界には、“魔女” と呼ばれる少女たちがいる。
現実を変えてしまうほどの強い願いから、
周囲に災いをもたらす奇妙な “体質” を持つようになった存在。",euphoria,グリムガーデンの少女 -witch in gleamgarden-,俺たちに翼はない,水夏～SUIKA～
"白い密室に閉じ込められたのは、主人公・高遠恵輔と6人のヒロインたち。
幼なじみの帆刈叶、クラス委員長の安藤都子、後輩の蒔羽梨香、英語教師の葵菜月と、
同学年の白夜凛音、そしてクラスメイトの真中合歓。
異常な状況に混乱する彼らに、突如として “謎の声” が告げる。",SHUFFLE！,euphoria,グリムガーデンの少女 -witch in gleamgarden-,学☆王 -THE ROYAL SEVEN STARS-
"かつて、魔王と人間との間で戦争があった。
魔王は一国を滅ぼしてなお進軍したが、軍勢はことごとく滅ぼされ、
ついには魔王自身も力尽きた。",GUN-KATANA（銃刀）－Non Human Killer－,みんなでニャンニャン,大図書館の羊飼い,姫狩りダンジョンマイスター
"ある、雪の舞い落ちる冬の日・・・。
俺は駅前のベンチで、いとこの少女、
水瀬名雪と7年ぶりに再会した。",Kanon,Summer Pockets,みんなでニャンニャン,姫狩りダンジョンマイスター
"猫が大好きな主人公「伊吹(いぶき)」はある夜、
夢の中に現れた「猫神さま」に「日頃、
猫達を可愛がってくれるので礼がしたい」と言われ、
「ネコミミ娘が欲しい！」と即答した。",School Days,Summer Pockets,みんなでニャンニャン,姫狩りダンジョンマイスター
"主人公『伊藤 誠（いとう まこと）』は、気になる女の子がいる。
こっそりと携帯の待ち受け画像に忍ばせて、その女の子の写真を持ち歩いている。
隣のクラスの『桂 言葉（かつら ことのは）』。彼女は、同じ沿線から通っていて、
いつも同じ時刻の電車に乗る。",School Days,Summer Pockets,大図書館の羊飼い,姫狩りダンジョンマイスター
"人類と、人類に酷似する謎の敵『Non-Human』
これは、二つの種族の抗争の中で、もがき苦しみ、運命に抗いながら、
それぞれの目標に向かって進もうとする人物たちの物語である。",GUN-KATANA（銃刀）－Non Human Killer－,Kanon,School Days,ヴァニタスの羊
"亡くなった祖母の遺品整理のために夏休みを利用して、
鳥白島にやってきた主人公・鷹原羽依里。
祖母の思い出の品の片付けを手伝いながら、初めて触れる「島の生活」に戸惑いつつも、
順応していく。",GUN-KATANA（銃刀）－Non Human Killer－,Kanon,Summer Pockets,ヴァニタスの羊
"他人の認識を操ることができる魔術師エリファスを父と呼び、
共に旅を続ける少年クロード。
彼は帝国の要と呼ばれている城塞都市――エンゲルブルクを訪れた際、
空樽の中からはみ出すスカートの裾らしきモノを見つける。",Kanon,School Days,ヴァニタスの羊,大図書館の羊飼い
"何か悪いものでも食べたのか、彼女――白崎つぐみは言った。
前振りがあったわけでもない。それ以前に、彼女と知り合いだったわけでもない。
唐突に、白崎は言ったのだ。
「そういう話なら、生徒会に掛け合ったほうがいいと思うけど」",GUN-KATANA（銃刀）－Non Human Killer－,みんなでニャンニャン,ヴァニタスの羊,大図書館の羊飼い
"何らかの理由で最期を遂げた少年・音無は、
死後の世界の学校で ゆり と名乗る少女と出会う。
彼女は理不尽な人生を強いた神に反逆する “死んだ世界戦線” のリーダーで、
日夜激戦を繰り広げていた。",3days～満ちてゆく刻の彼方で～,Angel Beats！ -1st beat-,幻のディストピア,恋姫†無双～ドキッ★乙女だらけの三国志演義～
"魔法が存在する世界。
空には9年に一度現れる混沌の化身・ジャバウォックが住まう漆黒の穴が浮かんでいた。",11eyes－罪と罰と贖いの少女－,Angel Beats！ -1st beat-,恋姫†無双～ドキッ★乙女だらけの三国志演義～,魔装の国のアリス Alice in Immoral-Land
タイムスリップって、マジかよっ!?,11eyes－罪と罰と贖いの少女－,Angel Beats！ -1st beat-,ココロ＠ファンクション！,恋姫†無双～ドキッ★乙女だらけの三国志演義～
"21世紀も半ばに差し掛かろうかっていう今は、
まさにネットワーク全盛期といった感じだ。
多機能通信カード “オルカ” があれば、電話やネットは言うまでもなく、
膨大な数のアプリを使えば、買い物や家電の操作もできるし、学園の授業も受けられる。",11eyes－罪と罰と贖いの少女－,Angel Beats！ -1st beat-,ココロ＠ファンクション！,幻のディストピア
紅葉した木々と澄んだ空気に包まれはじめた綾篠（あやしの）市。,3days～満ちてゆく刻の彼方で～,ココロ＠ファンクション！,閉じたセカイのトリコロニー,魔装の国のアリス Alice in Immoral-Land
"隻眼の少年「皐月駆」が、
たった1人の肉親である姉を喪ったのは5年前のことだった。",11eyes－罪と罰と贖いの少女－,3days～満ちてゆく刻の彼方で～,閉じたセカイのトリコロニー,魔装の国のアリス Alice in Immoral-Land
"可愛らしい顔立ちの少女は、俺にそう告白した。
それはきっと、普通の男子なら誰もが望んでいる言葉だろう。
もちろん俺だって、そんな日が来ることを期待していなかったわけじゃない。",ココロ＠ファンクション！,幻のディストピア,閉じたセカイのトリコロニー,魔装の国のアリス Alice in Immoral-Land
"それは、現代から遥かに時代の進んだ未来のお話。
特別保護区画に住む人々を中心とした物語。",3days～満ちてゆく刻の彼方で～,幻のディストピア,恋姫†無双～ドキッ★乙女だらけの三国志演義～,閉じたセカイのトリコロニー
"闇の存在・魑魅魍魎が侵食しつつある魔都・東京。
人魔の間で太古より守られてきた「互いに不干渉」という暗黙のルールも、
人が外道に堕してからは綻びを見せはじめ、
人魔結託した犯罪組織や企業が暗躍していた。",CLANNAD,リトルバスターズ！,対魔忍アサギ,昇龍戦姫 天夢
「くそっ！なんで僕がこんな目に遭わなきゃいけないんだよ！」,リトルバスターズ！,対魔忍アサギ,恋祭☆綺想カメリアノート -夢に忍ばず、斬り咲け乙女！-,鳳凰戦姫 舞夢
"主人公・直枝理樹は幼い日に両親を亡くし、絶望の中にいた。
それを救ったのがリトルバスターズと名乗る少年たち（棗恭介・井ノ原真人・宮沢謙吾・
棗鈴）だった。
彼らは理樹を連れだし、いろんなものを悪役に仕立て上げ、成敗して回った。",Triptych,リトルバスターズ！,対魔忍アサギ,鳳凰戦姫 舞夢
"街外れの洋館に暮らす少年ナユタ。彼は探偵まがいの何でも屋を生業としていた。
そんな彼のもとに、いつものように相棒の情報屋から依頼が届く。
孤島の中央にある学園で、密かに怪しげな儀式が行われているという噂がある。
真相を確かめて欲しい――",Triptych,対魔忍アサギ,昇龍戦姫 天夢,鳳凰戦姫 舞夢
"高校3年生の岡崎朋也は、無気力な毎日を送っている。
毎日同じことの繰り返し。
周りのみんなのように学校生活を楽しむこともできず、毎日遅刻ばかり。
そのためか、校内では浮いた存在になっていた。",CLANNAD,Triptych,マブラヴ,恋祭☆綺想カメリアノート -夢に忍ばず、斬り咲け乙女！-
"いつもの部活の帰り道。今日は何故だか、何かが違う…。
そんな胸騒ぎを振り払って、足早に帰る途中、
夜空に照らし出されている月が眩しく光り輝いた。
眩しい光がなくなり見上げてみると、満月に浮かぶ一つの小さな人影。",CLANNAD,マブラヴ,恋祭☆綺想カメリアノート -夢に忍ばず、斬り咲け乙女！-,鳳凰戦姫 舞夢
"平凡な学園生、白銀武(しろがね　たける)の前に突然現れた少女、冥夜。
彼女は家に押し掛け、住み着いてしまう。この事件が主人公と、幼馴染の純夏、
クラスメイトの壬姫、千鶴、慧、そして親友の尊人との関係に変化をもたらすことに…。",Triptych,マブラヴ,恋祭☆綺想カメリアノート -夢に忍ばず、斬り咲け乙女！-,昇龍戦姫 天夢
"月曜日の夜。僕こと秋山直道は、彼女と出会った。
下校中、ふと夜空を見上げると、煌々と輝く月が更に眩しく光り、
そこには一人の男性が立っていた。
鎧と刀……まるで武士のような佇まいを漂わせるその男は、冷たく言い放つ。",CLANNAD,マブラヴ,リトルバスターズ！,昇龍戦姫 天夢
"主人公の「杜松 透琉」は弓道部所属の3年生。
ある日、
弓道部の帰りに突然空から降ってきた妖魔と呼ばれる人間ではない生き物に襲われる。
凶暴な妖魔は透琉の胸倉を乱暴に掴むと、いとも簡単に片手で引き上げた。",5,8,シュヴァルツェスマーケン 紅血の紋章,風雷戦姫 神夢
"ある夜、空にもうひとつの月が出現する。 その月は「真月」と名づけられていた。
しかし、怖れられたその光も、いつしか日常に溶け、人々の興味を失っていった。
　それから三年後。某県大津名市――。
少年「羽村亮（はむらりょう）」は進学してから二度目の春を迎えていた。",6,シュヴァルツェスマーケン 紅血の紋章,夜が来る！-Square of the MOON-,風雷戦姫 神夢
"1983年。 異星起源種・BETAの侵略を受けている東ドイツは、
絶望的な消耗戦を強いられていた。",4,6,シュヴァルツェスマーケン 紅血の紋章,風雷戦姫 神夢
